cycle,state_abbrev,poll_count,multi_candidate_poll_count,poll_d_pct,poll_r_pct,poll_third_pct,poll_margin_dr,actual_margin_dr,actual_third_share,margin_error_actual_minus_poll,direction_correct,large_third_poll
2018,MA,1,0,54.0,24.0,0.0,30.0,25.038879177334596,3.3912770482170744,-4.9611208226654036,1,0
2018,MD,1,0,56.0,17.0,0.0,39.0,36.305663220524615,4.769216778585691,-2.6943367794753854,1,0
2018,MI,1,0,56.0,33.0,0.0,23.0,6.637138311355607,1.9818180144720505,-16.362861688644394,1,0
2018,MN,2,0,56.5,34.0,0.0,22.5,11.14061979867146,4.637516408861462,-11.35938020132854,1,0
2018,MO,2,0,44.5,43.0,0.0,1.5,-5.99663324974175,3.0474280480319895,-7.49663324974175,0,0
2018,MT,1,0,47.0,45.0,0.0,2.0,3.656915843777241,2.883715581778962,1.656915843777241,1,0
2018,ND,1,0,44.0,48.0,0.0,-4.0,-10.90541074249605,0.0,-6.90541074249605,1,0
2018,NM,1,0,47.0,26.0,0.0,21.0,27.83688334059555,15.380079539520123,6.8368833405955485,1,0
2018,NV,2,0,42.5,43.5,0.0,-1.0,5.247548248472789,2.670905668619994,6.247548248472789,0,0
2018,OH,2,0,51.0,37.0,0.0,14.0,6.84734253901348,0.022943173929662396,-7.15265746098652,1,0
2018,PA,2,0,52.5,36.5,0.0,16.0,13.345868972466581,1.6392182696530522,-2.6541310275334187,1,0
2018,RI,2,0,54.0,33.5,0.0,20.5,23.15947411265822,0.0,2.65947411265822,1,0
2018,TN,3,0,46.333333333333336,46.666666666666664,0.0,-0.3333333333333286,-10.93720415394411,1.3730200468860028,-10.603870820610782,1,0
2018,TX,5,0,45.0,48.2,0.0,-3.200000000000003,-2.5874814972216487,0.7820436938693723,0.6125185027783542,1,0
2018,UT,1,0,19.0,59.0,0.0,-40.0,-33.87894010199687,6.5049576769903386,6.121059898003132,1,0
2018,VA,2,0,53.0,37.5,0.0,15.5,16.319900580969303,1.8398217944396231,0.8199005809693034,1,0
2018,WI,1,0,53.0,42.0,0.0,11.0,10.837125004562045,0.0015802299686098603,-0.1628749954379547,1,0
2018,WV,1,0,45.0,33.0,0.0,12.0,3.4537403204640835,4.165457976840934,-8.546259679535916,1,0
