cycle,race_id,state_abbrev,y,pvi,same_raw,same_resid,same_gap,same_missing,econ,national,inc_diff,outparty,sen_personal_diff,house_personal_diff,gov_personal_diff,candidate_evidence_n,d_pid,r_pid,same_source_race_id,same_source_cycle,d_sen_n,r_sen_n,d_house_n,r_house_n,d_gov_n,r_gov_n
2018,128,WY,-37.97819051,-51.19549107,-55.49651864,-25.37024418269302,6.0,0.0,0.4465911499139219,8.83491,-1.0,0.0,-6.366137605311489,-1.808573577123855,0.0,3,6432,1069,1505,2012,0,1,2,0,0,0
2018,124,VA,16.31990058,2.30146851,5.91538802,-1.0942561858950324,6.0,0.0,1.5444513689616857,8.83491,1.0,0.0,0.0,0.0,2.2076717470891665,1,80,8554,1501,2012,0,0,0,0,1,0
2018,129,MN,11.1406198,0.93133472,10.66379046,7.7682009368242415,4.0,0.0,1.1951950662447919,8.83491,1.0,0.0,0.0,0.0,0.0,0,9090,9091,6,2014,0,0,0,0,0,0
2018,125,WA,16.86751985,14.02482035,20.90198236,1.2943306461290138,6.0,0.0,-1.795478130709327,8.83491,1.0,0.0,-1.491034989306917,0.0,0.0,1,1066,9106,1502,2012,1,0,0,0,0,0
2018,122,UT,-33.8789401,-35.63071277,-37.07577326,-7.675020101680504,6.0,0.0,-2.6030217147998025,8.83491,0.0,0.0,0.0,0.0,0.0,0,8597,9,1499,2012,0,0,0,0,0,0
2018,104,MD,36.30566322,24.78976928,36.02316964,8.890346152443835,6.0,0.0,1.6808291930209496,8.83491,1.0,0.0,-6.438227159410627,-4.411941234796775,0.0,4,981,9207,1481,2012,1,0,3,0,0,0
2018,101,HI,42.30219569,34.91158788,25.20308584,-13.98866345955481,6.0,0.0,3.0727218038757,8.83491,1.0,0.0,0.0,5.452148920672037,0.0,3,502,10927,1478,2012,0,0,3,0,0,0
2018,99,DE,22.63900799,11.48879867,39.28341839,14.346297544877432,6.0,0.0,-0.5704334105404163,8.83491,1.0,0.0,5.751384156747636,0.0,0.0,1,951,9149,1476,2012,1,0,0,0,0,0
2018,127,WI,10.837125,-1.04518584,5.70430065,-9.350119296861388,6.0,0.0,-0.35628427442691013,8.83491,1.0,1.0,0.0,1.7269009708790402,0.0,6,1067,9105,1504,2012,0,0,6,0,0,0
2018,114,NM,27.83688334,6.94255596,5.95158887,-9.528376405021461,6.0,0.0,1.3875192131721725,8.83491,1.0,0.0,0.0,2.7608424855601252,0.0,2,707,8556,1491,2012,0,0,2,0,0,0
2018,113,NJ,11.54441059,12.88476774,19.84032384,1.6039449078188728,6.0,0.0,0.4370749461428902,8.83491,1.0,0.0,-2.926416505293577,-2.0076945395594117,0.0,4,1012,8553,1490,2012,1,0,3,0,0,0
2018,105,MA,25.03887918,24.62691842,7.55447798,-24.013112405395635,6.0,0.0,-0.6260093808276412,8.83491,1.0,0.0,0.0,0.0,0.0,0,975,9150,1482,2012,0,0,0,0,0,0
2018,115,NY,33.99933379,22.41283872,46.51511255,16.719213574319383,6.0,0.0,0.8924723668330525,8.83491,1.0,0.0,4.739891767010216,11.52089896874244,0.0,3,748,8584,1492,2012,1,0,2,0,0,0
2018,111,NE,-19.79502814,-28.2836252,-15.54886554,0.29331583690266605,6.0,0.0,0.8150517245512079,8.83491,-1.0,0.0,0.0,0.0,0.0,0,8552,1007,1488,2012,0,0,0,0,0,0
2018,108,MS,-19.41285628,-18.7939932,-16.99449259,-7.017412479724941,6.0,0.0,3.3040337098967365,8.83491,-1.0,0.0,-1.408194278427823,-1.6166840947508738,0.0,3,8693,1001,1485,2012,0,1,0,2,0,0
2018,109,MO,-5.99663325,-19.09513611,16.71556749,13.721912978434384,6.0,0.0,1.4864568964668035,8.83491,1.0,1.0,-2.267055595597761,0.0,0.0,1,997,8690,1486,2012,1,0,0,0,0,0
2018,110,MT,3.65691584,-22.31388753,3.97909171,7.002921457951471,6.0,0.0,0.21058809645446708,8.83491,1.0,1.0,2.952731706085318,0.0,0.0,1,1002,3291,1487,2012,1,0,0,0,0,0
2018,117,OH,6.84734254,-7.50376418,6.28997142,-1.6118250901573514,6.0,0.0,1.5595990118382863,8.83491,1.0,1.0,-0.046857264574341535,-3.30074085685526,0.0,8,1025,2964,1494,2012,1,0,3,4,0,0
2018,118,PA,13.34586897,-1.48448586,9.26195408,-4.049536146482435,6.0,0.0,-0.047819543078353455,8.83491,1.0,1.0,-0.2869624433326147,-7.074211477065676,0.0,7,1032,2718,1495,2012,1,0,0,6,0,0
2018,120,TN,-10.93720415,-27.8726712,-36.18641022,-26.691064945434533,6.0,0.0,0.06011352041994655,8.83491,0.0,0.0,0.0,-1.2879867341550675,13.441580255744734,7,8671,2729,1497,2012,0,0,0,6,1,0
2018,121,TX,-2.5874815,-14.38527875,-16.30909708,-6.2314361190669825,6.0,0.0,-2.2126293836233213,8.83491,-1.0,0.0,0.0,5.565378249418685,0.0,2,3128,1052,1498,2012,0,0,2,0,0,0
