cycle,state_abbrev,context,poll_count,multi_candidate_poll_count,third_names,poll_d_pct,poll_r_pct,poll_third_pct,poll_margin_dr,actual_d_all,actual_r_all,actual_third_share,actual_margin_dr,margin_error_actual_minus_poll,direction_correct
2018,WV,two_party_or_under3,1,0,,45.0,33.0,0.0,12.0,49.5722091209725,46.262332902186564,4.165457976840934,3.4537403204640835,-8.546259679535916,1
2022,AR,two_party_or_under3,1,0,,31.0,44.0,0.0,-13.0,31.08677851917107,65.73095042083376,3.1822710599951627,-35.782880140816665,-22.782880140816665,1
2022,AZ,two_party_or_under3,2,0,,48.5,38.5,0.0,10.0,51.39486388414388,46.50743655274242,2.097699563113703,4.9921475895780345,-5.0078524104219655,1
2022,CO,two_party_or_under3,1,0,,46.0,36.0,0.0,10.0,55.883894037510046,41.26557419014211,2.850531772347838,15.047246386477953,5.047246386477953,1
2022,CT,two_party_or_under3,2,0,,53.0,38.0,0.0,15.0,57.45467649082815,42.538973733358624,0.006349775813227695,14.916649931299,-0.08335006870099981,1
2022,FL,two_party_or_under3,2,0,,44.0,47.0,0.0,-3.0,41.26728825186446,57.68031612214157,1.0523956259939722,-16.587594994456364,-13.587594994456364,1
2022,GA,two_party_or_under3,5,0,,47.8,45.4,0.0,2.3999999999999986,49.44498420193073,48.48777567859542,2.0672401194738517,0.9774140180497951,-1.4225859819502036,1
2022,KS,two_party_or_under3,1,0,,33.0,45.0,0.0,-12.0,37.03784046266702,60.00023881642579,2.961920720907184,-23.663286128856942,-11.663286128856942,1
2022,MD,two_party_or_under3,1,0,,56.0,33.0,0.0,23.0,65.85759344433148,34.121252462351464,0.021154093317056852,31.74305593765475,8.743055937654749,1
2022,MO,two_party_or_under3,1,0,,36.0,47.0,0.0,-11.0,42.17685693987328,55.432283133490884,2.3908599266358324,-13.580107542853748,-2.5801075428537477,1
2022,NC,two_party_or_under3,3,0,,46.0,47.666666666666664,0.0,-1.6666666666666643,47.30285670650709,50.53063120534656,2.166512088146346,-3.299253218639858,-1.6325865519731937,1
2022,NH,two_party_or_under3,2,0,,50.0,40.5,0.0,9.5,53.535392603837806,44.467866000763884,1.9967413953983089,9.252270518531674,-0.24772948146832618,1
2022,NV,two_party_or_under3,2,0,,42.0,44.0,0.0,-2.0,49.41606034852922,48.62987141130236,1.9540682401684237,0.8018577855455222,2.801857785545522,0
2022,OH,two_party_or_under3,5,0,,45.4,46.2,0.0,-0.8000000000000043,46.9230225807591,53.03490492681225,0.04207249242864491,-6.114454849606799,-5.314454849606795,1
2022,OK,two_party_or_under3,1,0,,35.0,52.0,0.0,-17.0,35.23647935081066,61.76920783567916,2.9943128135101755,-27.351724681729557,-10.351724681729557,1
2022,PA,two_party_or_under3,3,0,,50.0,43.333333333333336,0.0,6.666666666666664,51.248160169269084,46.33476657412481,2.417073256606112,5.035095542957678,-1.6315711237089863,1
2022,UT,major_independent_or_party_replacement,1,0,,34.0,36.0,0.0,-2.0,0.0,53.154075764728624,46.845924235271376,-100.0,-98.0,1
2022,WA,two_party_or_under3,1,0,,50.0,38.0,0.0,12.0,57.27529298959045,42.72470701040955,0.0,14.550585979180894,2.5505859791808945,1
2022,WI,two_party_or_under3,4,0,,47.0,48.25,0.0,-1.25,49.49418726080827,50.503282259182335,0.0025304800093967675,-1.009120533967455,0.24087946603254506,1
