president,start_date,end_date,approval,disapproval,unsure,source_url
George W. Bush,10/06/2006,10/08/2006,37.0,59.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/15/2006,09/17/2006,44.0,51.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/07/2006,09/10/2006,39.0,56.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/18/2006,08/20/2006,42.0,54.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/07/2006,08/10/2006,37.0,59.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/28/2006,07/30/2006,40.0,56.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/21/2006,07/23/2006,37.0,59.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/06/2006,07/09/2006,40.0,55.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/23/2006,06/25/2006,37.0,60.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/09/2006,06/11/2006,38.0,56.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/01/2006,06/04/2006,36.0,57.0,7,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/08/2006,05/11/2006,33.0,61.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/05/2006,05/07/2006,31.0,61.0,8,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/28/2006,04/30/2006,34.0,65.0,1,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/10/2006,04/13/2006,36.0,63.0,1,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/07/2006,04/09/2006,37.0,60.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/13/2006,03/16/2006,37.0,59.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/10/2006,03/12/2006,36.0,60.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,02/28/2006,03/01/2006,38.0,60.0,2,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
