cycle,state_abbrev,candidate_name,politician_id,wikidata_qid,match_status,match_score,wikidata_label,wikidata_description,state_local_quality_tier,prior_eligible_offices,undated_eligible_offices_review,wikipedia_fallback
2014,OR,Jeff Merkley,1667,Q1368405,MATCHED,23,Jeff Merkley,American politician (born 1956),2,"federal:United States senator[2013-01-03,2015-01-03] | state_legislative:member of the Oregon House of Representatives[1999-01-01,2008-01-01] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2009-01-03,2011-01-03]",,
2014,OR,Monica Wehby,4570,Q17026114,MATCHED,23,Monica Wehby,American physician and politician,0,,,Monica Wehby | https://en.wikipedia.org/wiki/Monica_Wehby | 
2014,RI,Jack Reed,1675,Q528979,MATCHED,23,Jack Reed,American politician (born 1949),0,"federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[1999-01-03,2001-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2001-01-03,2003-01-03] | federal:United States senator[1997-01-03,1999-01-03] | federal:United States senator[2003-01-03,2005-01-03]",,Jack Reed | https://en.wikipedia.org/wiki/Jack_Reed | 
2014,RI,Mark S. Zaccaria,4572,,NO_CONFIDENT_MATCH,0,,,0,,,NO_MATCH
2014,SC,Charles Bradley Hutto,4581,,NO_CONFIDENT_MATCH,0,,,0,,,NO_MATCH
2014,SC,Lindsey Graham,1680,Q22212,MATCHED,23,Lindsey Graham,American politician and attorney (1955–2026),2,"federal:United States senator[2003-01-03,2005-01-03] | state_legislative:member of the South Carolina House of Representatives[1992-01-01,1994-01-01] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2013-01-03,2015-01-03]",,
2014,SC,Joyce Dickerson,4579,Q18386001,MATCHED,23,Joyce Dickerson,American politician,0,,,Joyce Dickerson | https://en.wikipedia.org/wiki/Joyce_Dickerson | 
2014,SC,Tim Scott,2712,Q561315,MATCHED,25,Tim Scott,United States Senator from South Carolina since 2013,2,"federal:United States senator[2013-01-02,2013-01-03] | state_legislative:member of the South Carolina House of Representatives[2009-01-03,2011-01-03] | federal:United States senator[2013-01-03,2015-01-03]",,
2014,SD,Richard P. Weiland,4594,,NO_CONFIDENT_MATCH,6,,,0,,,NO_MATCH
2014,SD,M. Michael Rounds,4593,,NO_CONFIDENT_MATCH,6,,,0,,,NO_MATCH
