target_race_id,target_cycle,target_state,side,candidate_name,politician_id,prior_statewide_count,prior_senate_count,prior_governor_count,mean_own_party_overperf_vs_pvi_pctpt,mean_own_party_overperf_cycle_adjusted_pctpt,latest_prior_statewide_cycle,personal_vote_finalized
120,2018,TN,R,Marsha Blackburn,2729,0,0,0,,,,false
121,2018,TX,D,Beto O'Rourke,3128,0,0,0,,,,false
121,2018,TX,R,Ted Cruz,1052,1,1,0,-3.36380323,6.42616850,2012,false
122,2018,UT,D,Jenny Wilson,8597,0,0,0,,,,false
122,2018,UT,R,Mitt Romney,9,0,0,0,,,,false
124,2018,VA,D,Timothy Michael Kaine,80,2,1,1,10.57382825,-1.12845169,2012,false
124,2018,VA,R,Corey Stewart,8554,0,0,0,,,,false
123,2018,VT,D,Bernie Sanders,37,2,2,0,17.48998406,6.06014047,2012,false
123,2018,VT,R,Lawrence Zupan,9595,0,0,0,,,,false
125,2018,WA,D,Maria Cantwell,1066,2,2,0,10.02472274,-1.64131010,2012,false
125,2018,WA,R,Susan Hutchison,9106,0,0,0,,,,false
127,2018,WI,D,Tammy Baldwin,1067,1,1,0,0.24512006,-9.64231052,2012,false
127,2018,WI,R,Leah Vukmir,9105,0,0,0,,,,false
126,2018,WV,D,"Joe Manchin, III",925,3,2,1,41.79122246,39.38491115,2012,false
126,2018,WV,R,Patrick Morrisey,6828,0,0,0,,,,false
128,2018,WY,D,Gary Trauner,6432,0,0,0,,,,false
128,2018,WY,R,John Barrasso,1069,2,2,0,11.54061216,22.92010846,2012,false
8917,2022,AL,D,Will Boyd,16112,0,0,0,,,,false
8917,2022,AL,R,Katie Britt,18466,0,0,0,,,,false
8920,2022,AR,D,Natalie James,18465,0,0,0,,,,false
8920,2022,AR,R,John Boozman,376,2,2,0,-1.18692374,-5.77457308,2016,false
8919,2022,AZ,D,Mark Kelly,9705,1,1,0,10.71132935,5.62698094,2020,false
8919,2022,AZ,R,Blake Masters,17695,0,0,0,,,,false
9480,2022,CA,D,Alex Padilla,17803,0,0,0,,,,false
9480,2022,CA,R,Mark P. Meuser,17867,0,0,0,,,,false
8921,2022,CA,D,Alex Padilla,17803,0,0,0,,,,false
8921,2022,CA,R,Mark P. Meuser,17867,0,0,0,,,,false
8922,2022,CO,D,Michael Bennet,429,2,2,0,2.84571386,7.48150520,2016,false
8922,2022,CO,R,Joe O'Dea,18627,0,0,0,,,,false
8923,2022,CT,D,Richard Blumenthal,447,2,2,0,6.32890597,11.08533978,2016,false
8923,2022,CT,R,Leora R. Levy,18449,0,0,0,,,,false
8924,2022,FL,D,Val Demings,4735,0,0,0,,,,false
