race_id,cycle,state_abbrev,seat,recent_pres_year,older_pres_year,lean_recent_pctpt,lean_older_pctpt,pvi_default_067_033_pctpt
1487,2012,MT,Class I,2008,2004,-9.63712560,-18.58174295,-12.58884933
1493,2012,ND,Class I,2008,2004,-16.11563160,-25.40029889,-19.17957181
1488,2012,NE,Class I,2008,2004,-22.51646788,-31.27626511,-25.40720097
1490,2012,NJ,Class I,2008,2004,8.43094071,9.15948204,8.67135935
1491,2012,NM,Class I,2008,2004,8.03148100,1.61773763,5.91494569
1489,2012,NV,Class I,2008,2004,5.47515722,-0.21678204,3.59681726
1492,2012,NY,Class I,2008,2004,19.85504317,20.99394081,20.23087939
1494,2012,OH,Class I,2008,2004,-2.63063751,0.30092140,-1.66322307
1495,2012,PA,Class I,2008,2004,3.16108860,4.93497360,3.74647065
1496,2012,RI,Class I,2008,2004,21.09795598,23.57343056,21.91486259
1497,2012,TN,Class I,2008,2004,-22.56126264,-11.95248150,-19.06036486
1498,2012,TX,Class I,2008,2004,-19.17019254,-20.60197439,-19.64268055
1499,2012,UT,Class I,2008,2004,-36.35104178,-44.27446891,-38.96577273
1501,2012,VA,Class I,2008,2004,-0.93315022,-5.84898402,-2.55537538
1500,2012,VT,Class I,2008,2004,30.50004444,23.02041368,28.03176629
1502,2012,WA,Class I,2008,2004,10.20573457,9.71148477,10.04263214
1504,2012,WI,Class I,2008,2004,6.81303746,2.80201595,5.48940036
1503,2012,WV,Class I,2008,2004,-20.64580657,-10.54101185,-17.31122431
1505,2012,WY,Class I,2008,2004,-40.42236574,-38.20699694,-39.69129404
1472,2013,MA,Class II,2012,2008,19.74959603,19.09583739,19.53385568
1471,2013,NJ,Class II,2012,2008,14.08216563,8.43094071,12.21726141
12,2014,AK,Class II,2012,2008,-18.45234643,-29.42788887,-22.07427544
7,2014,AL,Class II,2012,2008,-26.25422254,-29.08012454,-27.18677020
32,2014,AR,Class II,2012,2008,-28.13057617,-27.64176026,-27.96926692
23,2014,CO,Class II,2012,2008,1.67424883,1.80295035,1.71672033
24,2014,DE,Class II,2012,2008,15.07214437,17.97795827,16.03106295
17,2014,GA,Class II,2012,2008,-11.73506367,-12.55499006,-12.00563938
34,2014,HI,Class III,2012,2008,39.58593153,38.68913272,39.28998792
26,2014,IA,Class II,2012,2008,2.09693838,2.39923654,2.19669678
27,2014,ID,Class II,2012,2008,-36.66453916,-33.34749864,-35.56991579
4,2014,IL,Class II,2012,2008,13.33328131,18.17020905,14.92946747
21,2014,KS,Class II,2012,2008,-26.04841896,-22.52287067,-24.88498803
15,2014,KY,Class II,2012,2008,-26.90731026,-23.76517421,-25.87040536
31,2014,MA,Class II,2012,2008,19.74959603,19.09583739,19.53385568
9,2014,ME,Class II,2012,2008,11.89807732,10.36073093,11.39075301
2,2014,MI,Class II,2012,2008,5.77929867,9.44428412,6.98874387
6,2014,MN,Class II,2012,2008,4.06068745,3.16043096,3.76360281
18,2014,MS,Class II,2012,2008,-15.42556387,-20.58218102,-17.12724753
5,2014,MT,Class II,2012,2008,-17.89022920,-9.63712560,-15.16670501
14,2014,NC,Class II,2012,2008,-5.88983528,-6.96639243,-6.24509914
1,2014,NE,Class II,2012,2008,-26.08054601,-22.51646788,-24.90440023
8,2014,NH,Class II,2012,2008,1.84573849,2.43876321,2.04143664
10,2014,NJ,Class II,2012,2008,14.08216563,8.43094071,12.21726141
3,2014,NM,Class II,2012,2008,6.76864382,8.03148100,7.18538009
29,2014,OK,Class II,2012,2008,-37.36640496,-38.58848128,-37.76969014
35,2014,OK,Class III,2012,2008,-37.36640496,-38.58848128,-37.76969014
20,2014,OR,Class II,2012,2008,8.72056889,9.52912332,8.98739185
