race_id,cycle,state_abbrev,side,candidate_name,auto_governor_experience,match_status,match_score,second_score,matched_nga_name,identity_suffix_mismatch,nga_prior_governor,final_governor_experience,source,nga_terms
128,2018,WY,D,Gary Trauner,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
128,2018,WY,R,John Barrasso,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8917,2022,AL,D,Will Boyd,0,AMBIGUOUS,0.4762,0.0000,,false,,0,election_history_fallback,
8917,2022,AL,R,Katie Britt,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8920,2022,AR,D,Natalie James,0,AMBIGUOUS,0.6250,0.4571,,false,,0,election_history_fallback,
8920,2022,AR,R,John Boozman,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8919,2022,AZ,D,Mark Kelly,0,AMBIGUOUS,0.5333,0.0000,,false,,0,election_history_fallback,
8919,2022,AZ,R,Blake Masters,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
9480,2022,CA,D,Alex Padilla,0,AMBIGUOUS,0.6111,0.0000,,false,,0,election_history_fallback,
9480,2022,CA,R,Mark P. Meuser,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8921,2022,CA,D,Alex Padilla,0,AMBIGUOUS,0.6111,0.0000,,false,,0,election_history_fallback,
8921,2022,CA,R,Mark P. Meuser,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8922,2022,CO,D,Michael Bennet,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8922,2022,CO,R,Joe O'Dea,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8923,2022,CT,D,Richard Blumenthal,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8923,2022,CT,R,Leora R. Levy,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8924,2022,FL,D,Val Demings,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8924,2022,FL,R,Marco Rubio,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
