race_id,cycle,state_abbrev,state,seat,special,headline_cycle,classification,reasons,winner,dem_candidate,rep_candidate,all_candidates
21,2014,KS,Kansas,Class II,false,true,MANUAL_RACE_RULE_REQUIRED,non_unique_or_missing_D_R,Pat Roberts [REP] 460350,,Pat Roberts [REP] 460350,Gregory Orman [IND] 368372 | Pat Roberts [REP] 460350 | Randall A. Batson [LIB] 37469
35,2014,OK,Oklahoma,Class III,true,true,SPECIAL_ELECTION_POLICY_REQUIRED,special,James Lankford [REP] 557002,Constance N. Johnson [DEM] 237923,James Lankford [REP] 557002,Constance N. Johnson [DEM] 237923 | James Lankford [REP] 557002 | Mark Beard [IND] 25965
11,2014,SC,South Carolina,Class II,false,true,SAFE_IF_AGGREGATE_SAME_CANDIDATE,fusion_or_multiline,Lindsey Graham [REP] 672941,Charles Bradley Hutto [DEM/WFP] 480933,Lindsey Graham [REP] 672941,Charles Bradley Hutto [DEM/WFP] 480933 | Lindsey Graham [REP] 672941 | Thomas Ravenel [OTH] 47588 | Victor Kocher [LIB] 33839 | Write-in [NONE] 4774
36,2014,SC,South Carolina,Class III,true,true,SPECIAL_ELECTION_POLICY_REQUIRED,special,Tim Scott [REP] 727215,Joyce Dickerson [DEM] 459583,Tim Scott [REP] 727215,Jill Bossi [AMP] 21652 | Joyce Dickerson [DEM] 459583 | Tim Scott [REP] 727215 | Write-in [NONE] 532
89,2016,CA,California,Class III,false,false,MANUAL_RACE_RULE_REQUIRED,non_unique_or_missing_D_R,Kamala Harris [DEM] 7542759,,,Kamala Harris [DEM] 7542759 | Loretta Sanchez [DEM] 4701417
91,2016,CT,Connecticut,Class III,false,false,SAFE_IF_AGGREGATE_SAME_CANDIDATE,fusion_or_multiline,Richard Blumenthal [DEM/WFP] 1008714,Richard Blumenthal [DEM/WFP] 1008714,Dan Carter [REP] 552621,Andrew Rule [W] 26 | Dan Carter [REP] 552621 | Jeffery Russell [GRE] 16713 | John M. Traceski [W] 12 | Richard Blumenthal [DEM/WFP] 1008714 | Richard Lion [LIB] 18190
61,2016,NY,New York,Class III,false,false,SAFE_IF_AGGREGATE_SAME_CANDIDATE,fusion_or_multiline,Charles E. Schumer [DEM/IDP/OTH/WFP] 5116696,Charles E. Schumer [DEM/IDP/OTH/WFP] 5116696,Wendy E. Long [CRV/REF/REP] 2009353,Alex Merced [LIB] 48120 | Blank [NONE] 400943 | Charles E. Schumer [DEM/IDP/OTH/WFP] 5116696 | Robin Laverne Wilson [GRE] 113415 | Scattering [NONE] 3472 | Void [NONE] 3474 | Wendy E. Long [CRV/REF/REP] 2009353
66,2016,SC,South Carolina,Class III,false,false,SAFE_IF_AGGREGATE_SAME_CANDIDATE,fusion_or_multiline,Tim Scott [REP] 1241609,Thomas Dixon [DEM/GRE/WFP] 757022,Tim Scott [REP] 1241609,Bill Bledsoe [CON/LIB] 37482 | Rebel Michael Scarborough [AMP] 11923 | Thomas Dixon [DEM/GRE/WFP] 757022 | Tim Scott [REP] 1241609 | Write-in [NONE] 1857
95,2017,AL,Alabama,Class II,true,false,SPECIAL_ELECTION_POLICY_REQUIRED,special,Gordon Douglas Jones [DEM] 673896,Gordon Douglas Jones [DEM] 673896,Roy S. Moore [REP] 651972,Gordon Douglas Jones [DEM] 673896 | Roy S. Moore [REP] 651972 | Write-in [NONE] 22852
97,2018,CA,California,Class I,false,true,MANUAL_RACE_RULE_REQUIRED,non_unique_or_missing_D_R,Dianne Feinstein [DEM] 6019422,,,Dianne Feinstein [DEM] 6019422 | Kevin de León [DEM] 5093942
