race_id,cycle,state_abbrev,state,seat,special,d_side_candidate,r_side_candidate,d_votes,r_votes,total_valid_candidate_votes,dr_votes,margin_d_minus_r_total_pctpt,margin_d_minus_r_two_party_pctpt,direction_actual,alignment_rule,ranked_choice_round_used
8935,2022,MD,Maryland,Class III,false,Chris Van Hollen,Chris Chaffee,1316897,682293,2002336,1999190,31.69318236,31.74305594,D,ballot_party_DEM_REP,
8936,2022,MO,Missouri,Class III,false,Trudy Busch Valentine,Eric Schmitt,872694,1146966,2069130,2019660,-13.25542619,-13.58010754,R,ballot_party_DEM_REP,
8940,2022,NC,North Carolina,Class III,false,Cheri Beasley,Ted Budd,1784049,1905786,3773924,3689835,-3.22574063,-3.29925322,R,ballot_party_DEM_REP,
8941,2022,ND,North Dakota,Class III,false,Katrina Christiansen,John Hoeven,59995,135474,240140,195469,-31.43124844,-38.61430713,R,ballot_party_DEM_REP,
8938,2022,NH,New Hampshire,Class III,false,Maggie Hassan,Donald C. Bolduc,332193,275928,620975,608121,9.06075124,9.25227052,D,ballot_party_DEM_REP,
8937,2022,NV,Nevada,Class III,false,Catherine Cortez Masto,Adam Paul Laxalt,498316,490388,1020850,988704,0.77660773,0.80185779,D,ballot_party_DEM_REP,
8939,2022,NY,New York,Class III,false,Charles E. Schumer,Joe Pinion,3320561,2501151,5965684,5821712,13.73539061,14.07506933,D,ballot_party_DEM_REP,
8942,2022,OH,Ohio,Class III,false,Tim Ryan,JD Vance,1939489,2192114,4133342,4131603,-6.11188235,-6.11445485,R,ballot_party_DEM_REP,
9482,2022,OK,Oklahoma,Class II,true,Kendra Horn,Markwayne Mullin,405389,710643,1150481,1116032,-26.53272848,-27.35172468,R,ballot_party_DEM_REP,
8943,2022,OK,Oklahoma,Class III,false,Madison Horn,James Lankford,369370,739960,1150732,1109330,-32.20471839,-33.40665086,R,ballot_party_DEM_REP,
8944,2022,OR,Oregon,Class III,false,Ron Wyden,Jo Rae Perkins,1076424,788991,1927949,1865415,14.90874499,15.40852840,D,ballot_party_DEM_REP,
8945,2022,PA,Pennsylvania,Class III,false,John Fetterman,Mehmet Oz,2751012,2487260,5368021,5238272,4.91339360,5.03509554,D,ballot_party_DEM_REP,
8946,2022,SC,South Carolina,Class III,false,Krystle Matthews,Tim Scott,627616,1066274,1695702,1693890,-25.86881421,-25.89648678,R,ballot_party_DEM_REP,
8947,2022,SD,South Dakota,Class III,false,Brian L. Bengs,John R. Thune,91007,242316,348020,333323,-43.47709902,-45.39410722,R,ballot_party_DEM_REP,
8949,2022,VT,Vermont,Class III,false,Peter Welch,Gerald Malloy,196575,80468,291955,277043,39.76879999,41.90937869,D,ballot_party_DEM_REP,
8950,2022,WA,Washington,Class III,false,Patty Murray,Tiffany Smiley,1741827,1299322,3047900,3041149,14.51835690,14.55058598,D,ballot_party_DEM_REP,
8951,2022,WI,Wisconsin,Class III,false,Mandela Barnes,Ron Johnson,1310467,1337185,2652477,2647652,-1.00728489,-1.00912053,R,ballot_party_DEM_REP,
