race_id,cycle,state_abbrev,state,seat,special,d_side_candidate,r_side_candidate,d_votes,r_votes,total_valid_candidate_votes,dr_votes,margin_d_minus_r_total_pctpt,margin_d_minus_r_two_party_pctpt,direction_actual,alignment_rule,ranked_choice_round_used,same_seat_exact6_available,same_seat_exact6_cycle,same_seat_exact6_race_id,same_seat_exact6_margin_total_pctpt,same_seat_exact6_margin_two_party_pctpt,same_seat_last_prior_available,same_seat_last_prior_cycle,same_seat_last_prior_year_gap,same_seat_last_prior_race_id,same_seat_last_prior_margin_total_pctpt,same_seat_last_prior_margin_two_party_pctpt,pvi_recent_pres_year,pvi_older_pres_year,pvi_lean_recent_pctpt,pvi_lean_older_pctpt,pvi_default_067_033_pctpt,d_senate_experience,r_senate_experience,SenateExperienceDiff,d_house_experience,r_house_experience,HouseExperienceDiff,d_incumbency,r_incumbency,IncumbencyDiff,d_governor_experience,r_governor_experience,GovernorExperienceDiff,d_outparty_incumbent,r_outparty_incumbent,OutPartyIncumbent
129,2018,MN,Minnesota,Class II,true,Tina Smith,Karin Housley,1370540,1095777,2587356,2466317,10.61945090,11.14061980,D,ballot_party_DEM_REP,,false,,,,,true,2014,4,6,10.24350905,10.66379046,2016,2012,-0.56327321,3.96584172,0.93133472,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
109,2018,MO,Missouri,Class I,false,Claire McCaskill,Josh Hawley,1112935,1254927,2442289,2367862,-5.81389017,-5.99663325,R,ballot_party_DEM_REP,,true,2012,1486,15.70060529,16.71556749,true,2012,6,1486,15.70060529,16.71556749,2016,2012,-21.86378261,-13.47394471,-19.09513611,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
108,2018,MS,Mississippi,Class I,false,David Baria,Roger F. Wicker,369567,547619,936215,917186,-19.01828106,-19.41285628,R,ballot_party_DEM_REP,,true,2012,1485,-16.60472886,-16.99449259,true,2012,6,1485,-16.60472886,-16.99449259,2016,2012,-20.40635527,-15.52040960,-18.79399320,0,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0
110,2018,MT,Montana,Class I,false,Jon Tester,Matt Rosendale,253876,235963,504384,489839,3.55146079,3.65691584,D,ballot_party_DEM_REP,,true,2012,1487,3.71801360,3.97909171,true,2012,6,1487,3.71801360,3.97909171,2016,2012,-24.44598926,-17.98507493,-22.31388753,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1
116,2018,ND,North Dakota,Class I,false,Heidi Heitkamp,Kevin Cramer,144376,179720,326138,324096,-10.83713029,-10.90541074,R,ballot_party_DEM_REP,,true,2012,1493,0.91423162,0.91825182,true,2012,6,1493,0.91423162,0.91825182,2016,2012,-41.84514642,-24.13902778,-36.00212727,1,0,1,0,1,-1,1,0,1,0,0,0,1,0,1
111,2018,NE,Nebraska,Class I,false,Jane Raybould,Deb Fischer,269917,403151,698883,673068,-19.06384903,-19.79502814,R,ballot_party_DEM_REP,,true,2012,1488,-15.54886554,-15.54886554,true,2012,6,1488,-15.54886554,-15.54886554,2016,2012,-29.32200885,-26.17539174,-28.28362520,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0
113,2018,NJ,New Jersey,Class I,false,Bob Menendez,Bob Hugin,1711654,1357355,3169310,3069009,11.17905790,11.54441059,D,ballot_party_DEM_REP,,true,2012,1490,19.49109902,19.84032384,true,2012,6,1490,19.49109902,19.84032384,2016,2012,12.34171966,13.98731990,12.88476774,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
114,2018,NM,New Mexico,Class I,false,Martin Heinrich,Mick Rich,376998,212813,697012,589811,23.55554854,27.83688334,D,ballot_party_DEM_REP,,true,2012,1491,5.73052348,5.95158887,true,2012,6,1491,5.73052348,5.95158887,2016,2012,7.07492925,6.67379809,6.94255596,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
112,2018,NV,Nevada,Class I,false,Jacky S. Rosen,Dean Heller,490071,441202,972132,931273,5.02699222,5.24754825,D,ballot_party_DEM_REP,,true,2012,1489,-1.16014652,-1.28090504,true,2012,6,1489,-1.16014652,-1.28090504,2016,2012,0.36075822,2.89847312,1.19820414,0,1,-1,1,1,0,0,1,-1,0,0,0,0,1,-1
115,2018,NY,New York,Class I,false,Kirsten E. Gillibrand,Chele Farley,4056931,1998220,6250886,6055151,32.93470718,33.99933379,D,ballot_party_DEM_REP,,true,2012,1492,42.90531977,46.51511255,true,2012,6,1492,42.90531977,46.51511255,2016,2012,21.31822175,24.63524287,22.41283872,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
117,2018,OH,Ohio,Class I,false,Sherrod Brown,Jim Renacci,2355923,2053963,4410898,4409886,6.84577154,6.84734254,D,ballot_party_DEM_REP,,true,2012,1494,6.00067755,6.28997142,true,2012,6,1494,6.00067755,6.28997142,2016,2012,-10.76202978,-0.88849767,-7.50376418,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1
118,2018,PA,Pennsylvania,Class I,false,Robert P. Casey Jr.,Lou Barletta,2792437,2134848,5009400,4927285,13.12710105,13.34586897,D,ballot_party_DEM_REP,,true,2012,1495,9.10242736,9.26195408,true,2012,6,1495,9.10242736,9.26195408,2016,2012,-2.97773224,1.54725680,-1.48448586,1,0,1,0,1,-1,1,0,1,0,0,0,1,0,1
119,2018,RI,Rhode Island,Class I,false,Sheldon Whitehouse,Bob Flanders,231477,144421,376738,375898,23.10783622,23.15947411,D,ballot_party_DEM_REP,,true,2012,1496,29.84583526,29.91257166,true,2012,6,1496,29.84583526,29.91257166,2016,2012,14.41898881,24.11688075,17.61929315,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
