test_cycle,race_id,state_abbrev,actual,predicted,error
2010,1523,KY,-11.48095751601687,-5.66154493043181,5.81941258558506
2010,1529,NH,-23.97501605171033,-7.77532676863016,16.19968928308017
2010,1533,ND,-54.86353795537069,13.287212970042912,68.1507509254136
2010,1537,PA,-2.0169893814480417,1.2952653732886548,3.3122547547366965
2010,1542,WA,4.729651697626612,13.719722776873509,8.990071079246896
2010,1526,MA,-4.814496291899783,31.183664454685882,35.99816074658567
2012,1500,VT,48.06836072464078,31.35085212377402,-16.717508600866765
2012,1503,WV,24.834513060240212,-5.898544250618598,-30.73305731085881
2012,1505,WY,-55.496518640696024,-35.86732492456461,19.62919371613141
2012,1485,MS,-16.99449259042794,-12.709931343107895,4.284561247320044
2012,1476,DE,39.283418390774436,24.117844334250513,-15.165574056523923
2012,1497,TN,-36.18641022453753,-11.156078131124595,25.030332093412937
2012,1475,CT,12.006081697469337,29.499814770928467,17.49373307345913
2012,1477,FL,13.345297340747944,5.721501104032518,-7.623796236715426
2012,1479,IN,6.1106459245934035,-13.790642476625948,-19.90128840121935
2012,1481,MD,36.02316963954084,18.290275496719282,-17.732894142821557
2012,1483,MI,21.50553871325623,12.923356337775838,-8.582182375480391
2012,1486,MO,16.715567491731388,-0.9544183247277656,-17.669985816459153
2012,1490,NJ,19.840323838015877,13.295053618314327,-6.54527021970155
2012,1491,NM,5.9515888708755424,17.140583843231532,11.188994972355989
2012,1492,NY,46.51511255351639,25.389379864026584,-21.125732689489805
2012,1495,PA,9.261954081514569,9.9948731954802,0.7329191139656306
2012,1499,UT,-37.0757732565835,-32.68783161407973,4.387941642503776
2012,1473,AZ,-3.1721173153280318,-8.765445441782768,-5.593328126454736
2012,1498,TX,-16.30909708156998,-17.051331695789674,-0.7422346142196936
2012,1501,VA,5.91538801810197,1.4902299030825548,-4.425158115019415
2012,1502,WA,20.90198236342602,14.566113691438934,-6.335868671987084
2012,1504,WI,5.704300652835616,16.317793427823876,10.61349277498826
2012,1474,CA,25.04856894428919,20.59124482873809,-4.457324115551099
2012,1478,HI,25.203085836142193,30.458597988380834,5.255512152238641
2012,1480,ME,26.48234834354132,-2.1410753024832267,-28.62342364602455
2012,1482,MA,7.554477975801374,18.924889187794808,11.370411211993433
2012,1484,MN,36.23860405374483,11.072452114702115,-25.166151939042713
2012,1487,MT,3.9790917137484754,-5.632108294281489,-9.611200008029964
2012,1488,NE,-15.54886554430033,-8.61845552951512,6.93041001478521
2012,1489,NV,-1.280905043065674,2.3585983248161577,3.639503367881832
2012,1493,ND,0.9182518186765415,-1.2740296661904962,-2.1922814848670376
2012,1494,OH,6.289971418139652,4.9211759133476365,-1.3687955047920157
2012,1496,RI,29.91257165864601,20.69639824649705,-9.216173412148958
2014,23,CO,-2.05840587,-0.021046064639993034,2.037359805360007
2014,24,DE,13.87148223,12.09487436161995,-1.776607868380049
2014,17,GA,-7.83187416,-13.680762757063953,-5.848888597063953
2014,27,ID,-30.65672393,-36.955977099411705,-6.299253169411706
2014,4,IL,11.2773088,18.93040454372654,7.653095743726539
2014,26,IA,-8.6989644,5.385329014122288,14.084293414122287
2014,15,KY,-15.96057449,-23.853986873218346,-7.893412383218346
2014,5,MT,-18.10618056,0.42567632353717677,18.531856883537174
2014,1,NE,-34.28383256,-27.16065746967906,7.123175090320942
2014,9,ME,-36.9768401,-4.410265923534017,32.56657417646598
2014,10,NJ,13.76275568,7.9541454598196015,-5.808610220180398
2014,8,NH,3.25508549,-1.0124363229020013,-4.267521812902001
2014,30,WV,-28.63206901,-13.961387516490646,14.670681493509353
2014,16,VA,0.83240711,5.79272008169394,4.96031297169394
2014,19,TX,-28.35091383,-21.909032320245245,6.441881509754754
2014,28,TN,-32.00774884,-32.00011405687451,0.007634783125489264
2014,22,SD,-26.11370225,-9.779371814443326,16.334330435556673
2014,11,SC,-16.64029175,-19.79714690123419,-3.15685515123419
2014,33,RI,41.40580796,26.45929515530957,-14.946512804690428
2014,20,OR,20.37041963,2.5593397930127306,-17.81107983698727
2014,29,OK,-40.86688127,-36.0203580493509,4.846523220649104
2014,14,NC,-1.62832794,-5.870177835172608,-4.241849895172608
2014,3,NM,11.11762036,7.7189164970622794,-3.3987038629377206
2014,18,MS,-22.50161833,-23.541649649276096,-1.0400313192760962
