cycle,state,race_id,actual,baseline,baseline_correct,lite_margin,lite_correct,classic_margin,classic_correct,deluxe_margin,deluxe_correct
2018,TX,121,-2.5874815,-4.297080285308862,1,-3.700000000000003,1,-3.229999999999997,1,-3.6300000000000026,1
2018,AZ,96,2.40295749,4.975994417131159,1,3.9199999999999946,1,3.5,1,2.940000000000005,1
2018,WV,126,3.45374032,4.7397864576665665,1,10.130000000000003,1,9.100000000000001,1,8.659999999999997,1
2018,CT,98,20.408577,33.20163698869727,1,23.309999999999995,1,26.519999999999996,1,27.299999999999997,1
2018,FL,100,-0.12251836,9.21369423266069,0,0.28000000000000114,0,1.3400000000000034,0,1.5,0
2018,IN,102,-6.16290322,5.414188772435592,0,2.710000000000001,0,5.369999999999997,0,4.190000000000005,0
2018,MI,106,6.63713831,18.69885246773953,1,17.22,1,17.39,1,17.370000000000005,1
2018,ME,103,21.31277978,27.019972208203413,1,-33.129999999999995,0,-30.330000000000002,0,-29.99,0
2022,HI,8926,46.45313302,34.05299218726266,1,34.60471,1,37.13655,1,37.12804,1
2022,ID,8927,-35.72103182,-38.48530990288252,1,-36.56185,1,-37.55662,1,-37.58804,1
2022,KS,8931,-23.66328613,-17.696339888482125,1,-13.78078,1,-16.85064,1,-18.89213,1
2022,AZ,8919,4.99214759,7.100349717638057,1,7.475552,1,6.663101,1,5.732292,1
2022,CO,8922,15.04724639,9.091718749537852,1,9.393837,1,10.1799,1,10.01036,1
2022,FL,8924,-16.58759499,-4.484128011823412,1,-3.873718,1,-5.483234,1,-7.28001,1
2022,NC,8940,-3.29925322,-1.7729213425901253,1,0.9292221,0,0.5621681,0,-2.044323,1
2022,NV,8937,0.80185779,2.3920044079502203,1,0.7433701,1,1.503242,1,0.8013039,1
2022,IL,8928,15.58439786,18.655805503377472,1,16.7725,1,17.97093,1,19.23595,1
2022,OK,8943,-33.40665086,-29.09716398919657,1,-21.25955,1,-24.88014,1,-25.20046,1
2022,OK,9482,-27.35172468,-20.891044332418247,1,-21.25955,1,-24.88014,1,-25.20046,1
2022,SC,8946,-25.89648678,-19.440809100616697,1,-17.64717,1,-22.29848,1,-22.90096,1
2022,WI,8951,-1.00912053,-3.6660689719759745,1,0.4714966,0,-0.3063889,1,-1.635384,1
2022,NH,8938,9.25227052,9.135798695354687,1,9.525444,1,9.516579,1,8.10186,1
2022,ND,8941,-38.61430713,-41.89181921338031,1,-35.97604,1,-44.24047,1,-44.26196,1
2022,SD,8947,-45.39410722,-23.241610176243242,1,-23.94703,1,-35.27144,1,-35.31098,1
2022,WA,8950,14.55058598,10.689835468844745,1,10.31083,1,12.29646,1,14.56932,1
2022,VT,8949,41.90937869,31.125786110668045,1,12.04847,1,19.01161,1,19.98505,1
2022,MD,8935,31.74305594,27.65219729627427,1,22.26161,1,26.89434,1,27.00285,1
2022,KY,8932,-23.61980649,-32.48508525104044,1,-16.73943,1,-20.70876,1,-21.58945,1
2022,OH,8942,-6.11445485,-3.6218539371227214,1,0.0697556,0,-1.197037,1,-3.825432,1
2022,OR,8944,15.4085284,17.30333565791846,1,22.75971,1,19.54198,1,20.41206,1
2022,NY,8939,14.07506933,22.033556687739953,1,23.47868,1,24.8585,1,25.06454,1
2022,IA,8930,-12.19684055,-15.471497184043974,1,-7.561676,1,-12.91188,1,-16.72365,1
2022,CA,9480,21.78714896,27.282244566846614,1,21.43121,1,28.52393,1,28.58627,1
2022,CA,8921,22.12901552,27.282244566846614,1,21.43121,1,28.52393,1,28.58627,1
2022,PA,8945,5.03509554,2.541604012419793,1,8.595901,1,7.282284,1,6.156521,1
2022,CT,8923,14.91664993,17.928417043993953,1,16.05658,1,17.32645,1,18.76892,1
2022,IN,8929,-21.5007215,-22.41535485390296,1,-9.834789,1,-17.33809,1,-19.19613,1
2022,MO,8936,-13.58010754,-14.283041637267395,1,-11.03229,1,-13.81245,1,-17.17564,1
2022,GA,8925,0.97741402,3.8085243587138216,1,2.686443,1,2.049046,1,1.18858,1
2022,AR,8920,-35.78288014,-23.275988406003354,1,-15.95796,1,-23.75956,1,-24.18269,1
2022,AL,8917,-36.65298426,-28.6420300984574,1,-21.55243,1,-26.49062,1,-26.70758,1
